algorithm_id,instance,run_idx,hv,igd_plus,spacing,spread,n_pareto,n_f1_layers,status
nsga2,c102_21,23,1248806074.665302,678.23056,0.743335,16818.4322,105,10,ok
nsga2,c102_21,24,1566011854.052785,252.155414,0.789312,21491.3864,105,12,ok
nsga2,c102_21,25,1146553587.894237,472.876191,0.566104,8137.3226,105,7,ok
nsga2,c102_21,26,1418310600.299519,188.702518,0.652949,11790.8758,105,10,ok
nsga2,c102_21,27,1441653665.657351,288.813673,0.781123,13904.6747,105,10,ok
nsga2,c102_21,28,1279430117.992739,513.992408,0.6736,15975.3623,105,12,ok
nsga2,c102_21,29,1729659207.949667,0.543957,0.67296,11258.9757,105,8,ok
nsga2,c102_21,30,1515199462.19689,217.256474,0.685125,12088.9286,105,10,ok
smsemoa,c102_21,1,1387578702.518778,343.83194,1.508489,14210.0332,105,10,ok
smsemoa,c102_21,2,1437751798.681106,248.331001,1.133433,15381.5746,105,10,ok
smsemoa,c102_21,3,1286831911.729478,507.697009,1.845981,17152.3462,105,10,ok
smsemoa,c102_21,4,1286995358.184111,439.111079,1.221907,13477.9249,105,8,ok
smsemoa,c102_21,5,1440164065.982714,302.506643,1.909091,14960.554,105,12,ok
smsemoa,c102_21,6,1311594647.650023,390.996297,0.884315,16051.0617,105,10,ok
smsemoa,c102_21,7,1226454979.735363,338.077242,2.126134,14318.3461,105,9,ok
smsemoa,c102_21,8,1480172930.806571,230.195654,1.487492,14897.3793,105,9,ok
smsemoa,c102_21,9,1215883173.00994,367.882568,1.221382,12168.1298,105,9,ok
smsemoa,c102_21,10,1360265691.024296,427.333506,1.879499,13696.3582,105,11,ok
smsemoa,c102_21,11,1255282082.389593,498.833998,1.17918,11193.4537,105,9,ok
smsemoa,c102_21,12,1443920250.735669,303.473345,0.821317,12924.8387,105,10,ok
smsemoa,c102_21,13,1467944614.57781,272.633655,0.838573,11486.9292,105,8,ok
smsemoa,c102_21,14,1396804141.64318,218.660281,1.015171,10012.231,105,9,ok
smsemoa,c102_21,15,1302134299.227083,350.146583,2.333183,12824.1566,105,9,ok
smsemoa,c102_21,16,1278339720.693881,385.497991,1.710089,11068.3619,105,11,ok
smsemoa,c102_21,17,1159703852.844805,667.470777,0.782342,13686.2743,105,10,ok
smsemoa,c102_21,18,1444824168.807242,263.584594,1.616111,13771.2761,105,10,ok
